code,title,slug,url,contributor,game_name,code,stamp,mainboard_type,mainboard_circled_letters,mainboard_panel_position,mainboard_calendar,mainboard_year,mainboard_month,mainboard_week,u1_role,u1_kind,u1_label,u1_manufacturer,u1_calendar,u1_year,u1_month,u1_week,u2_role,u2_kind,u2_label,u2_manufacturer,u2_calendar,u2_year,u2_month,u2_week,u3_role,u3_kind,u3_label,u3_manufacturer,u3_calendar,u3_year,u3_month,u3_week,u4_role,u4_kind,u4_label,u4_manufacturer,u4_calendar,u4_year,u4_month,u4_week,u5_role,u5_kind,u5_label,u5_manufacturer,u5_calendar,u5_year,u5_month,u5_week,u6_role,u6_kind,u6_label,u6_manufacturer,u6_calendar,u6_year,u6_month,u6_week,u7_role,u7_kind,u7_label,u7_manufacturer,u7_calendar,u7_year,u7_month,u7_week,x1_role,x1_kind,x1_label,x1_manufacturer,x1_calendar,x1_year,x1_month,x1_week,battery_kind,battery_label,battery_manufacturer,battery_calendar,battery_year,battery_month,battery_week,dump_crc32,dump_md5,dump_sha1,dump_sha256
AGB-A2CP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A2CP-0/3615retro-1.html,3615Retro,"Castlevania - Aria of Sorrow (Europe) (En,Fr,De)",AGB-A2CP-EUR,22,AGB-E11-01,I,L-1,March/2003,2003,March,,ROM,MX23L6406-12C,M031246-M MX23L6406-12C AGB-A2CP-0 I2 2H199408,Macronix,Week 12/2003,2003,,12,RAM,MB85R256,JAPAN MB85R256 0305 M67,Fujitsu,Week 5/2003,2003,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0c91f74,4a5d8e686d55829d54a03fda8d6887d7,2e8302c2a5a61614749f609d7edc8c3e6af20585,5e53bad137852c55280964c08f8f4a6622ddf332fa0108722a26d462e1f8a92a
AGB-A2FP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A2FP-0/ikk5-1.html,ikk5,"Defender - For All Mankind (Europe) (En,Fr,De,Es,It)",AGB-A2FP-EUU,00,AGB-E03-20,MB,D-6,October/2002,2002,October,,ROM,MX23L3206-12B,S024321-M MX23L3206-12B AGB-A2FP-0 H2 2F775301,Macronix,Week 43/2002,2002,,43,EEPROM,9853,9853 2821,ROHM,August/2002,2002,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A2NP-0,Entry #1,kurodo-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A2NP-0/kurodo-1.html,Kurodo,"Sonic Advance 2 (Europe) (En,Ja,Fr,De,Es,It)",AGB-A2NP-FAH,41,AGB-E02-20,YG,K-1,October/2002,2002,October,,ROM,MX23L12806-12C,M030838-M MX23L12806-12C AGB-A2NP-0 J2 2F034400,Macronix,Week 8/2003,2003,,8,Flash,SST39VF512-70-4C-WH,39VF512 70-4C-WH 0235069-D,SST,Week 35/2002,2002,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A2RP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A2RP-0/ikk5-1.html,ikk5,"Bratz (Europe) (En,Fr,De,Es,It)",AGB-A2RP-EUR,09,AGB-E03-20,K,C-1,February/2003,2003,February,,ROM,MR26V3210F,AGB-A2RP-0 H2 R26V3210F-0A9 312A213,OKI,Week 12/2003,2003,,12,EEPROM,9853,9853 3227,ROHM,February/2003,2003,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A2XP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A2XP-0/ikk5-1.html,ikk5,"MX 2002 Featuring Ricky Carmichael (USA, Europe)",AGB-A2XP-EUR,41,AGB-E01-10,MB,G-6,August/2001,2001,August,,ROM,MX23L3206-12B,S013421-M MX23L3206-12B AGB-A2XP-0 H2 2E515801,Macronix,Week 34/2001,2001,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A3AP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A3AP-0/3615retro-1.html,3615Retro,"Super Mario Advance 3 - Yoshi's Island (Europe) (En,Fr,De,Es,It)",AGB-A3AP-EUR,00,AGB-E03-10,K,B-4,August/2002,2002,August,,ROM,MX23L6406-12C,S023346-M MX23L6406-12C AGB-A3AP-0 I2 2F804400,Macronix,Week 33/2002,2002,,33,EEPROM,9854,9854 2Q17W,ROHM,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639e9d3b,5a0bd0ec784823f2c45fdaa5dd914bea,bd52eb4b4ebe438e9b9ecaac792bd389725cde41,c80b956254d01759dda43395b455e4c39abdb8a5335405159ea33680f02e84ee
AGB-A4MP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A4MP-0/ikk5-1.html,ikk5,"Manic Miner (Europe) (En,Fr,De,Es,It)",AGB-A4MP-EUR,09,AGB-E01-10,I,F-1,May/2002,2002,May,,ROM,MX23L6406-12B1,M022507-M MX23L6406-12B1 AGB-A4MP-0 I2 2E754600,Macronix,Week 25/2002,2002,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A5AP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A5AP-0/3615retro-1.html,3615Retro,"Bionicle - Matoran Adventures (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,Da)",AGB-A5AP-EUR,00,AGB-E03-10,K,D-3,August/2002,2002,August,,ROM,MX23L3206-12B,S023721-M MX23L3206-12B AGB-A5AP-0 H2 2F744800,Macronix,Week 37/2002,2002,,37,EEPROM,9853,9853 2770,ROHM,July/2002,2002,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daec2264,ed573adeab96072232623aa7cff4f077,a478f5880c484a70a5fdefc42f73aae2eb948168,a0df916402b36c0b605201059e4d7872c4c94d88b43473d270ed3ab6bf56d002
AGB-A6DP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A6DP-0/ikk5-1.html,ikk5,"Disney Sports - Football (Soccer) (Europe) (En,Fr,De,Es,It)",AGB-A6DP-EUR,11,AGB-E03-20,MB,M-3,September/2002,2002,September,,ROM,MX23L12806-12C,S024438-M MX23L12806-12C AGB-A6DP-0 J2 2F420800,Macronix,Week 44/2002,2002,,44,EEPROM,9853,9853 2A04,ROHM,October/2002,2002,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A7HJ-0,Entry #1,hdr-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A7HJ-0/hdr-1.html,HDR,Harry Potter to Himitsu no Heya (Japan),AGB-A7HJ-JPN,34,AGB-E03-20,MB,P-2,October/2002,2002,October,,ROM,MR26V6413G,AGB-A7HJ-0 I2 R26V6413G-0A9 242A273,OKI,Week 42/2002,2002,,42,EEPROM,9853,9853 2956,ROHM,September/2002,2002,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4402cda973089a4a12b2a77ec681fb977a625a4d9af8b4f0073135a7efa19f42
AGB-A7KE-0,Entry #1,echelonprime-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A7KE-0/echelonprime-1.html,EchelonPrime,Kirby - Nightmare in Dream Land (USA),AGB-A7KE-USA,,AGB-E11-01,I,E-1,July/2003,2003,July,,ROM,MX23L6406-12C,M033646-M MX23L6406-12C AGB-A7KE-0 I2 2H601300,Macronix,Week 36/2003,2003,,36,RAM,MB85R256A,JAPAN MB85R256A 0330 M04,Fujitsu,Week 30/2003,2003,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A7KP-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A7KP-0/3615retro-1.html,3615Retro,"Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It)",AGB-A7KP-EUR,41,AGB-E11-01,MB,N-1,July/2003,2003,July,,ROM,MX23L12806-12C,M033238-M MX23L12806-12C AGB-A7KP-0 J2 2F459900,Macronix,Week 32/2003,2003,,32,RAM,MB85R256,JAPAN MB85R256 0319 M08,Fujitsu,Week 19/2003,2003,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b7a7477,6dd162a103fb55ddf99b6e688019354f,39b00beee4558e6738859cfa250e4e0fcaae626e,c9e7ede4f74b291cd0dd1414e7579c613775c0be7836a919609f6354e3e8698a
AGB-A7KP-0,Entry #1,ikk5-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A7KP-0/ikk5-1.html,ikk5,"Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It)",AGB-A7KP-EUR,22,AGB-E11-01,MB,G-3,July/2003,2003,July,,ROM,MX23L12806-12C,M033238-M MX23L12806-12C AGB-A7KP-0 J2 2F420100,Macronix,Week 32/2003,2003,,32,RAM,MB85R256,JAPAN MB85R256 0319 M79,Fujitsu,Week 19/2003,2003,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGB-A88P-0,Entry #1,3615retro-1,https://gbhwdb.gekkio.fi/cartridges/AGB-A88P-0/3615retro-1.html,3615Retro,"Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It)",AGB-A88P-EUR,09,AGB-E03-20,I,D-4,October/2003,2003,October,,ROM,MX23L12806-12C,S034138-M MX23L12806-12C AGB-A88P-0 J2 2F565800,Macronix,Week 41/2003,2003,,41,EEPROM,9854,9854 3R35W,ROHM,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170cc574,3b50b9f9e13e271ead33ee5a234650a9,fa2314c2fbe0db1ab17175f8be7cceb0ab084efc,cc95f813a6721981cf7ea02f577c0c0591ad75d639a1b6a1473f40244ad280d0
