DMG-F4-NOE-1 (4-in-1 Funpak, GER)
DMG-F9-USA (4-in-1 Funpak Volume II, US)
DMG-APXP-EUR (a bug’s life, UK/GER)
DMG-T3-NOE (Adventure Island, GER)
DMG-T3-USA (Adventure Island, US)
DMG-LO-NOE (Adventures of Lolo, GER)
DMG-ALAP-EUR (Aladdin, UK/FR/GER/IT/ESP/NED/SV/SUO/DA)
DMG-ALAP-NEU5 (Aladdin, UK/FR/NED/GER/ESP)
DMG-C3-NOE (Alfred Chicken, GER)
DMG-L3-NOE (Alien 3, UK/GER)
DMG-AW-NOE (Alleyway, GER)
DMG-AZTP-EUR (All Star Tennis 2000, UK/GER/ESP/IT/NED)
DMG-PN-NOE (Amazing Pinguin, GER)
DMG-AMCP-NOE (Arcade Classics Asteroids & Missile Command, GER)
DMG-ACPE-USA-1 (Arcade Classics 2 Centipede & Millipede, US)
DMG-ACPE-USA (Arcade Classics 2 Centipede & Millipede, US)
DMG-LD-NNOE (Arielle die Meerjungfrau, GER)
DMG-XA-NOE (Asterix, GER)
DMG-AXOP-NOE (Asterix & Obelix, GER)
DMG-AARP-NOE (Asteroids, GER)
DMG-AARE-USA-1 (Asteroids, US)
DMG-AK-NOE (Attack of the Killer Tomatoes, GER)
DMG-BT-NOE (Balloon Kid, GER)
DMG-A6-SCN (Bamse, SWE)
DMG-BS-USA-1 (Baseball, US)
DMG-TS-NOE (Bart Simpson’s Escape from Camp Deadly, GER)
DMG-BA-NOE (Batman The Video Game, GER)
DMG-BA-USA (Batman The Video Game, US)
DMG-XM-NOE (Batman The animated Series, GER)
DMG-B5-NOE-1 (Batman – Return of the Joker, GER)
DMG-R7-NOE (Battletoads in Ragnarok’s World, GER)
DMG-NB-USA (Battleship, US)
DMG-GK-NOE (B.C. Kid, GER)
DMG-AVUP-NEU6 (Beauty and the Beast – A Board Game Adventure, UK/GER/FR/NED/ESP/IT)
DMG-AVIP-EUR (Beavis & Butt-Head, UK/FR/GER/ESP/IT/NED)
DMG-B4-USA (Beetlejuice, US)
DMG-LB-USA (Bill & Ted’s Excellent Game Boy Adventure, US)
DMG-EL-USA (Bill Elliot’s Nascar Fast Tracks, US)
DMG-UB-NOE (Blades of Steel, GER)
DMG-UB-USA (Blades of Steel, US)
DMG-AB2P-EUR (Bomberman GB, UK/FR/GER/ESP/IT/NED)
DMG-AQVP-EUU (Bomberman Quest, FR/GER/NED)
DMG-GK-USA (Bonk’s Adventure, US)
DMG-AS-USA (Boomer’s Adventure in Asmik World, US)
DMG-BD-NOE (Boulder Dash, GER)
DMG-BD-NOE-1 (Boulder Dash, GER)
DMG-SO-USA (Boxxle, US)
DMG-BW-USA (Brainbender, US)
DMG-D4-NOE (Bram Stoker’s Dracula, GER)
DMG-ABXE-USA (BreakThru!, US)
DMG-B2-NOE (Bubble Bobble, GER)
DMG-LX-NOE (Bubble Bobble Part 2, GER)
DMG-AB6P-NEU5 (Bugs Bunny Crazy Castle 3, UK/GER/FR/NED/ESP)
DMG-BU-NOE (Burai Fighter Deluxe, GER)
DMG-GM-NOE (Burgertime Deluxe, GER)
DMG-CE-NOE (Caesars Palace, GER)
DMG-CE-USA-1 (Caesars Palace, US)
DMG-CE-USA-2 (Caesars Palace, US)
DMG-ACFP-GPS (Casino, UK)
DMG-ACFP-GPS (Casino FunPak, US)
DMG-ACFE-USA (Casino FunPak, US)
DMG-CJ-NOE (Castelian, GER)
DMG-QH-NOE (Castle Quest, GER)
DMG-CW-USA (Castlevania II Belmont’s Revenge, US)
DMG-ADNP-EUR (Castlevania Legends, UK/GER/FR/ESP/NED)
DMG-V4-NOE (Choplifter 2, GER)
DMG-AC3E-EUR (Choplifter 3, UK/GER/FR/NED/ESP/IT/SV/SUO)
DMG-QC-UKV (Chuck Rock, UK)
DMG-ACRP-NEU6 (Conker’s Pocket Tales, UK/GER/FR/NED/ESP/IT)
DMG-OP-USA (Cool Ball, US)
DMG-ACDP-EUU (Cool Hand, UK)
DMG-WL-USA (Cool World, US)
DMG-WR-USA (Cyraid, US/FR)
DMG-YS-NOE-2 (Daffy Duck, GER)
DMG-DC-NOE (Darkwing Duck, GER)
DMG-J7-NOE (Das Dschungelbuch, GER)
DMG-J7-NNOE (Das Dschungelbuch, GER)
DMG-YD-NOE (Dennis, GER)
DMG-ALNP-NOE (Der König der Löwen, GER)
DMG-ALNP-NNOE (Der König der Löwen, GER)
DMG-FU-USA (Dexterity, US)
DMG-AMVP-NOE (Die Biene Maja & ihre Freunde, GER)
DMG-ADMP-NOE (Die Maus, GER)
DMG-UF-NOE-1 (Die Schlümpfe, GER)
DMG-AUFP-NOE (Die Schlümpfe reisen um die Welt, GER)
DMG-AUFP-NOE-1 (Die Schlümpfe reisen um die Welt, GER)
DMG-DY-NOE (Dig Dug, GER)
DMG-QD-NOE (Donkey Kong, GER)
DMG-QD-NOE (Donkey Kong, GER)
DMG-YT-NOE (Donkey Kong Land, GER)
DMG-ADDP-NOE-1 (Donkey Kong Land 2, GER)
DMG-D2-NOE (Double Dragon II, GER)
DMG-DX-NOE (Double Dragon 3 The Arcade Game, UK/GER)
DMG-FN-UKV (Dr. Franken, UK)
DMG-VU-NOE (Dr. Mario, GER)
DMG-DP-UKV (Dropzone, UK)
DMG-DT-NOE (Duck Tales, GER)
DMG-DT-USA (Duck Tales, US)
DMG-AEBP-EUU (Eartworm Jim – Menace 2 the Galaxy, FR/GER/NED)
DMG-YK-USA (Elite Soccer, US)
DMG-FS-USA (Extra Bases, US)
DMG-F5-NOE (F1 Pole Position, GER)
DMG-F5-NOE-1 (F1 Pole Position, GER)
DMG-F1-NOE (F-1 Race, GER)
DMG-F1-NOE-1 (F-1 Race, GER)
DMG-XP-NOE (Ferrari Grand Prix Challenge, UK/GER)
DMG-A7SP-EUR (FIFA 97, UK/ESP/FR/GER)
DMG-AFOP-NOE (FIFA 2000, GER)
DMG-AFSP-EUR (FIFA International Soccer, UK/GER/FR)
DMG-AFSE-USA (FIFA International Soccer, US)
DMG-HR-NOE (Fighting Simulator, GER)
DMG-S2-USA (Final Fantasy Legend II, US)
DMG-OS-USA (Final Fantasy Legend III, US)
DMG-F8-NOE (Fire Fighter, GER)
DMG-IY-NOE (Fortified Zone, GER)
DMG-IY-USA (Fortified Zone, US)
DMG-AGCP-NOE (Galaga & Galaxian, GER)
DMG-AGGA-NOE (Game Boy Gallery, GER)
DMG-AGGA-UKV-3 (Game Boy Gallery, UK)
DMG-AGAE-NNOE (Game & Watch Gallery, GER)
DMG-AGLP-NEU5 (Game & Watch Gallery 2, UK/GER/FR/NED/ESP)
DMG-L4-UKV (Garfield Labyrinth, UK)
DMG-RA-NOE (Gargoyle’s Quest, GER)
DMG-G2-NOE (Gauntlet II, GER)
DMG-G2-FRG (Gauntlet II, GER)
DMG-G8-UKV (Gear Works, UK)
DMG-JK-NOE (George Foreman’s KO Boxing, UK/GER)
DMG-AEXP-EUR (Gex Enter the Gecko, FR/GER/NED)
DMG-GB-NOE (Ghostbusters II, GER)
DMG-WF-NOE (Glücksrad, GER)
DMG-WF-NOE-1 (Glücksrad, GER)
DMG-GZ-NOE-1 (Godzilla, GER)
DMG-AAFD-NOE (Golden Goal, GER)
DMG-GO-NOE (Golf, GER)
DMG-GO-UKV-2 (Golf, UK)
DMG-GO-UKV-4 (Golf, UK)
DMG-PR-USA (Hal Wrestling, US)
DMG-HT-USA (Hatris, US)
DMG-AHCP-NNOE (Hercules, GER)
DMG-HY-USA (High Stakes Gambling, US)
DMG-HM-UKV (Home Alone, UK)
DMG-HM-USA (Home Alone, US)
DMG-AH-NOE (Home Alone, GER)
DMG-AH-USA (Home Alone 2, US)
DMG-AH-USA-1 (Home Alone 2, US)
DMG-HS-USA (Hook, US)
DMG-AGOP-NOE (Hugo, GER)
DMG-AO2P-NOE (Hugo 2, GER)
DMG-AHOP-NOE (Hugo 2 1/2, GER)
DMG-DW-NOE (Hyperdunk, GER)
DMG-HL-USA (Hyper Lode Runner, US)
DMG-GD-USA (InfoGenius Productivity Pak Frommers Travel Guide, US)
DMG-AIGP-EUR (International Superstar Soccer, GER/FR/ESP/NED)
DMG-AJDP-EUR (Judge Dredd, UK/GER/FR/ESP/IT/NED)
DMG-AJGP-FAH-2 (Jungle Strike, FR/NED)
DMG-AJGP-NOE (Jungle Strike, GER)
DMG-ALWP-EUR (Jurassic Park The lost World, UK/GER/IT/NED)
DMG-DF-NOE (Kid Dracula, GER)
DMG-DF-NOE-1 (Kid Dracula, GER)
DMG-KA-NOE-1 (Kid Icarus, GER)
DMG-KA-FRG-1 (Kid Icarus, GER)
DMG-PW-NOE (King of the Zoo, GER)
DMG-AKXP-NOE (Kirby’s Block Ball, GER)
DMG-KY-NOE (Kirby’s Dream Land, GER)
DMG-KY-UKV-2 (Kirby’s Dream Land, UK)
DMG-K9-USA (Kirby’s Pinball Land, US)
DMG-KG-NOE (Konami Golf, GER)
DMG-FK-USA (Krusty’s Fun House, US)
DMG-SX-NOE (Kung Fu Master, GER)
DMG-AP-NOE (Kwirk, GER)
DMG-L7-FRG-2 (Lamborghini American Challenge, GER/FR)
DMG-L8-NOE (Lemmings, GER)
DMG-L8-UKV (Lemmings, UK)
DMG-L8-NOE-1 (Lemmings, GER)
DMG-LZ-NOE (Lingo, GER)
DMG-TM-NOE (Litti’s Summer Sports, GER)
DMG-LN-NOE (Looney Tunes, GER)
DMG-LN-NOE-3 (Looney Tunes, GER)
DMG-ALTP-NOE (Looney Tunes, GER)
DMG-ALLP-NOE (Lucky Luke, GER)
DMG-KQ-NOE (Magnetic Soccer, GER)
DMG-MB-NOE (Marble Madness, GER)
DMG-APCP-NOE (Mario’s Picross, GER)
DMG-APCP-NOE (Mario’s Picross, GER)
DMG-YO-NOE (Mario & Yoshi, GER)
DMG-OJ-USA (Maru’s Mission, US)
DMG-AR4P-EUU (Matchbox Construction Zone, IT/FR/GER)
DMG-AJSD-NOE (Matthias Sammer Soccer, GER)
DMG-CU-UKV (McDonaldland, UK)
DMG-CU-FRG (McDonaldland, GER)
DMG-MZ-USA (Megalit, US)
DMG-RW-NOE-1 (Mega Man, GER)
DMG-W2-USA-1 (Mega Man II, US)
DMG-W3-NOE (Mega Man III, GER)
DMG-R4-USA (Mega Man IV, US)
DMG-ME-USA (Metroid II, US)
DMG-M2-NOE (Mickey Mouse, GER)
